file,content.length,instruction,count,percentage
scale_vector_emu_fixed_point.s,359,vldr.32,4,1.34%
scale_vector_neon.s,362,vldr.32,4,1.32%
scale.s,362,vldr.32,4,1.32%
scale_scalar_fixed_point.s,431,vldr.32,4,1.04%
scale_vector_neon_gcc_O3.s,213,vldr.32,1,0.64%
scale_naive.s,288,vldr.64,4,1.64%
scale_vector_neon_gcc_O3.s,213,vmla.i32,1,0.64%
scale_vector_neon_gcc_O3.s,213,vmls.i32,1,0.64%
scale_optimized_scalar_floating_point.s,286,vmov,18,7.44%
scale_naive.s,288,vmov,17,6.97%
scale_vector_emu_floating_point.s,379,vmov,21,6.52%
scale_vector_neon_gcc_O3.s,213,vmov,10,6.41%
scale_optimized_scalar_fixed_point.s,269,vmov,6,2.71%
scale_vector_emu_fixed_point.s,359,vmov,6,2.01%
scale_vector_neon.s,362,vmov,6,1.97%
scale.s,362,vmov,6,1.97%
scale_scalar_fixed_point.s,431,vmov,6,1.57%
scale_vector_neon_gcc_O3.s,213,vmov.32,7,4.49%
scale_vector_neon.s,362,vmov.32,4,1.32%
scale.s,362,vmov.32,4,1.32%
scale_naive.s,288,vmov.f32,5,2.05%
scale_optimized_scalar_floating_point.s,286,vmov.f32,3,1.24%
scale_vector_neon_gcc_O3.s,213,vmov.f32,1,0.64%
scale_vector_emu_floating_point.s,379,vmov.f32,2,0.62%
scale_optimized_scalar_fixed_point.s,269,vmov.f32,1,0.45%
scale_vector_emu_fixed_point.s,359,vmov.f32,1,0.34%
scale_vector_neon.s,362,vmov.f32,1,0.33%
scale.s,362,vmov.f32,1,0.33%
scale_scalar_fixed_point.s,431,vmov.f32,1,0.26%
scale_vector_neon_gcc_O3.s,213,vmov.i32,1,0.64%
scale_optimized_scalar_floating_point.s,286,vmul.f32,14,5.79%
scale_vector_emu_floating_point.s,379,vmul.f32,18,5.59%
scale_naive.s,288,vmul.f32,10,4.10%
scale_vector_neon_gcc_O3.s,213,vmul.f32,3,1.92%
scale_optimized_scalar_fixed_point.s,269,vmul.f32,3,1.36%
scale_vector_emu_fixed_point.s,359,vmul.f32,3,1.01%
scale_vector_neon.s,362,vmul.f32,3,0.99%
scale.s,362,vmul.f32,3,0.99%
scale_scalar_fixed_point.s,431,vmul.f32,3,0.78%
scale_naive.s,288,vmul.f64,4,1.64%
scale_vector_neon.s,362,vmul.i32,6,1.97%
scale.s,362,vmul.i32,6,1.97%
scale_vector_neon_gcc_O3.s,213,vmul.i32,3,1.92%
scale_vector_neon_gcc_O3.s,213,vpush.64,1,0.64%
scale_vector_neon.s,362,vstr,31,10.20%
scale.s,362,vstr,31,10.20%
scale_vector_emu_floating_point.s,379,vstr.32,17,5.28%
scale_optimized_scalar_floating_point.s,286,vstr.32,6,2.48%
scale_naive.s,288,vstr.32,4,1.64%
scale_optimized_scalar_fixed_point.s,269,vstr.32,1,0.45%
scale_vector_emu_fixed_point.s,359,vstr.32,1,0.34%
scale_vector_neon.s,362,vstr.32,1,0.33%
scale.s,362,vstr.32,1,0.33%
scale_scalar_fixed_point.s,431,vstr.32,1,0.26%
scale_naive.s,288,vstr.64,1,0.41%
scale_vector_emu_floating_point.s,379,vsub.f32,7,2.17%
scale_optimized_scalar_floating_point.s,286,vsub.f32,4,1.65%
scale_naive.s,288,vsub.f32,4,1.64%
scale_naive.s,288,vsub.f64,2,0.82%
scale_vector_neon.s,362,vsub.i32,2,0.66%
scale.s,362,vsub.i32,2,0.66%
